id_OTF,NameOTF,id_DTF,NameDTF,combined,OTF_Cluster,DTF_Cluster
13,Разработка проектной документации системы водоснабжения и водоотведения объекта капитального строительства,50,Создание информационной модели системы водоснабжения и водоотведения объекта капитального строительства,Разработка проектной документации системы водоснабжения и водоотведения объекта капитального строительства Создание информационной модели системы водоснабжения и водоотведения объекта капитального строительства,11,1
14,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства,53,Организация и контроль создания информационной модели системы водоснабжения и водоотведения объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства Организация и контроль создания информационной модели системы водоснабжения и водоотведения объекта капитального строительства,2,1
14,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства,54,Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации системы водоснабжения и водоотведения объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации системы водоснабжения и водоотведения объекта капитального строительства,2,2
14,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства,55,Разработка специальных технических условий на проектирование конструктивных решений системы водоснабжения и водоотведения объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства Разработка специальных технических условий на проектирование конструктивных решений системы водоснабжения и водоотведения объекта капитального строительства,2,10
14,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства,51,Разработка технологических и конструктивных решений системы водоснабжения и водоотведения объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства Разработка технологических и конструктивных решений системы водоснабжения и водоотведения объекта капитального строительства,2,4
14,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства,52,Формирование технического задания и контроль разработки проекта системы водоснабжения и водоотведения объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства Формирование технического задания и контроль разработки проекта системы водоснабжения и водоотведения объекта капитального строительства,2,4
15,"Разработка и оформление рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства",57,"Подготовка к выпуску рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства","Разработка и оформление рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства Подготовка к выпуску рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства",11,4
15,"Разработка и оформление рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства",56,"Разработка рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства","Разработка и оформление рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства Разработка рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства",11,5
15,"Разработка и оформление рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства",58,Создание элементов системы электроснабжения в качестве компонентов для информационной модели объекта капительного строительства,"Разработка и оформление рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства Создание элементов системы электроснабжения в качестве компонентов для информационной модели объекта капительного строительства",11,1
16,Разработка проектной документации системы электроснабжения объектов капитального строительства,61,Подготовка к выпуску проектной документации системы электроснабжения объектов капитального строительства,Разработка проектной документации системы электроснабжения объектов капитального строительства Подготовка к выпуску проектной документации системы электроснабжения объектов капитального строительства,11,4
16,Разработка проектной документации системы электроснабжения объектов капитального строительства,59,"Предпроектное обследование объекта капитального строительства, для которого предназначена система электроснабжения","Разработка проектной документации системы электроснабжения объектов капитального строительства Предпроектное обследование объекта капитального строительства, для которого предназначена система электроснабжения",11,1
16,Разработка проектной документации системы электроснабжения объектов капитального строительства,60,Разработка текстовой и графической частей проектной документации системы электроснабжения объектов капитального строительства,Разработка проектной документации системы электроснабжения объектов капитального строительства Разработка текстовой и графической частей проектной документации системы электроснабжения объектов капитального строительства,11,8
16,Разработка проектной документации системы электроснабжения объектов капитального строительства,62,Создание информационной модели системы электроснабжения объекта капитального строительства,Разработка проектной документации системы электроснабжения объектов капитального строительства Создание информационной модели системы электроснабжения объекта капитального строительства,11,1
17,Техническое руководство процессами разработки и реализации проекта системы электроснабжения объекта капитального строительства,65,Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации системы электроснабжения объектов капитального строительства,Техническое руководство процессами разработки и реализации проекта системы электроснабжения объекта капитального строительства Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации системы электроснабжения объектов капитального строительства,2,2
17,Техническое руководство процессами разработки и реализации проекта системы электроснабжения объекта капитального строительства,63,"Разработка принципиальной схемы электроснабжения электроприемников от основного, дополнительного и резервного источников электроснабжения объекта капитального строительства","Техническое руководство процессами разработки и реализации проекта системы электроснабжения объекта капитального строительства Разработка принципиальной схемы электроснабжения электроприемников от основного, дополнительного и резервного источников электроснабжения объекта капитального строительства",2,5
17,Техническое руководство процессами разработки и реализации проекта системы электроснабжения объекта капитального строительства,64,Формирование технического задания и контроль разработки проекта системы электроснабжения объектов капитального строительства,Техническое руководство процессами разработки и реализации проекта системы электроснабжения объекта капитального строительства Формирование технического задания и контроль разработки проекта системы электроснабжения объектов капитального строительства,2,4
18,Разработка и оформление рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,67,Подготовка к выпуску рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,Разработка и оформление рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства Подготовка к выпуску рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,11,7
18,Разработка и оформление рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,66,Разработка рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,Разработка и оформление рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства Разработка рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,11,7
18,Разработка и оформление рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,68,Создание элементов слаботочных систем управления инженерными сетями в качестве компонентов для информационной модели объекта капитального строительства,Разработка и оформление рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства Создание элементов слаботочных систем управления инженерными сетями в качестве компонентов для информационной модели объекта капитального строительства,11,7
19,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,69,Выполнение расчетов для проектирования слаботочных систем управления инженерными сетями объекта капитального строительства,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства Выполнение расчетов для проектирования слаботочных систем управления инженерными сетями объекта капитального строительства,11,7
19,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,71,Подготовка к выпуску проекта слаботочных систем управления инженерными сетями объекта капитального строительства,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства Подготовка к выпуску проекта слаботочных систем управления инженерными сетями объекта капитального строительства,11,7
19,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,70,Разработка текстовой и графической частей проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства Разработка текстовой и графической частей проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,11,7
19,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,72,Создание информационной модели слаботочных систем управления инженерными сетями объекта капитального строительства,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства Создание информационной модели слаботочных систем управления инженерными сетями объекта капитального строительства,11,7
20,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства,75,Организация и контроль создания информационной модели слаботочных систем управления инженерными сетями объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства Организация и контроль создания информационной модели слаботочных систем управления инженерными сетями объекта капитального строительства,2,7
20,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства,76,Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,2,2
20,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства,73,Разработка технологических и конструктивных решений слаботочных систем управления инженерными сетями объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства Разработка технологических и конструктивных решений слаботочных систем управления инженерными сетями объекта капитального строительства,2,7
20,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства,74,Формирование технического задания и контроль разработки проекта слаботочных систем управления инженерными сетями объекта капитального строительства,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства Формирование технического задания и контроль разработки проекта слаботочных систем управления инженерными сетями объекта капитального строительства,2,7
21,"Разработка и оформление рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",78,"Подготовка к выпуску рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Разработка и оформление рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Подготовка к выпуску рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",11,1
21,"Разработка и оформление рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",77,"Разработка рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Разработка и оформление рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Разработка рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",11,1
21,"Разработка и оформление рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",79,"Создание элементов систем отопления, вентиляции и кондиционирования воздуха в качестве компонентов для информационной модели объекта капитального строительства","Разработка и оформление рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Создание элементов систем отопления, вентиляции и кондиционирования воздуха в качестве компонентов для информационной модели объекта капитального строительства",11,1
22,"Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",80,"Выполнение расчетов для проектирования систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Выполнение расчетов для проектирования систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",11,1
22,"Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",82,"Подготовка к выпуску проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Подготовка к выпуску проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",11,1
22,"Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",81,"Разработка текстовой и графической частей проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Разработка текстовой и графической частей проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",11,1
22,"Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",83,"Создание информационной модели систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Создание информационной модели систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",11,1
23,"Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",86,"Организация и контроль создания информационной модели систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Организация и контроль создания информационной модели систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",2,1
23,"Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",87,"Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",2,2
23,"Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",88,"Разработка специальных технических условий на проектирование конструктивных решений систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Разработка специальных технических условий на проектирование конструктивных решений систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",2,1
23,"Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",84,"Разработка технологических и конструктивных решений систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Разработка технологических и конструктивных решений систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",2,1
23,"Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",85,"Формирование технического задания и контроль разработки проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства","Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства Формирование технического задания и контроль разработки проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",2,1
24,Разработка и оформление рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,90,Подготовка к выпуску рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,Разработка и оформление рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства Подготовка к выпуску рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,11,6
24,Разработка и оформление рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,89,Разработка рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,Разработка и оформление рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства Разработка рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,11,6
24,Разработка и оформление рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,91,Создание элементов системы газоснабжения (сетей газораспределения и газопотребления) в качестве компонентов для информационной модели объектов капитального строительства,Разработка и оформление рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства Создание элементов системы газоснабжения (сетей газораспределения и газопотребления) в качестве компонентов для информационной модели объектов капитального строительства,11,6
25,Разработка проектной документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,92,Выполнение расчетов для проектирования системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,Разработка проектной документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства Выполнение расчетов для проектирования системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,11,6
